canonical_id,ET,PH_REGION,FA,BT,HR,SC,ST,v,created_at
FA-SG-A__BT-FR__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,SG-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.090241
FA-SG-A__BT-AL__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,SG-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.091695
FA-SG-A__BT-CF__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,SG-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.093559
FA-SG-A__BT-SM__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,SG-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.095100
FA-SG-A__BT-SC__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,SG-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.096759
FA-MB-A__BT-FR__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,MB-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.098140
FA-MB-A__BT-AL__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,MB-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.099410
FA-MB-A__BT-CF__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,MB-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.100838
FA-MB-A__BT-SM__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,MB-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.102220
FA-MB-A__BT-SC__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,MB-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.103683
FA-EM-A__BT-FR__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,EM-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.105291
FA-EM-A__BT-AL__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,EM-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.106705
FA-EM-A__BT-CF__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,EM-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.108088
FA-EM-A__BT-SM__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,EM-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.109535
FA-EM-A__BT-SC__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,EM-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.110920
FA-RS-A__BT-FR__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,RS-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.112538
FA-RS-A__BT-AL__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,RS-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.113893
FA-RS-A__BT-CF__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,RS-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.115120
FA-RS-A__BT-SM__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,RS-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.116342
FA-RS-A__BT-SC__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,RS-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.117551
FA-FD-A__BT-FR__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,FD-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.118815
FA-FD-A__BT-AL__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,FD-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.120054
FA-FD-A__BT-CF__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,FD-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.121333
FA-FD-A__BT-SM__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,FD-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.122609
FA-FD-A__BT-SC__ET-PH__PH_REGION-ILOCOS__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,ILOCOS,FD-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.124086
FA-SG-A__BT-FR__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,SG-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.125587
FA-SG-A__BT-AL__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,SG-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.126959
FA-SG-A__BT-CF__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,SG-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.128626
FA-SG-A__BT-SM__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,SG-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.130165
FA-SG-A__BT-SC__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,SG-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.131663
FA-MB-A__BT-FR__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,MB-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.133054
FA-MB-A__BT-AL__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,MB-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.134599
FA-MB-A__BT-CF__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,MB-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.136116
FA-MB-A__BT-SM__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,MB-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.137606
FA-MB-A__BT-SC__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,MB-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.139105
FA-EM-A__BT-FR__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,EM-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.140417
FA-EM-A__BT-AL__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,EM-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.141922
FA-EM-A__BT-CF__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,EM-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.143567
FA-EM-A__BT-SM__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,EM-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.144867
FA-EM-A__BT-SC__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,EM-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.146705
FA-RS-A__BT-FR__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,RS-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.148147
FA-RS-A__BT-AL__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,RS-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.149383
FA-RS-A__BT-CF__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,RS-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.150630
FA-RS-A__BT-SM__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,RS-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.151849
FA-RS-A__BT-SC__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,RS-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.153077
FA-FD-A__BT-FR__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,FD-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.154320
FA-FD-A__BT-AL__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,FD-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.155536
FA-FD-A__BT-CF__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,FD-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.156859
FA-FD-A__BT-SM__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,FD-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.158086
FA-FD-A__BT-SC__ET-PH__PH_REGION-TAGALOG__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,TAGALOG,FD-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.159313
FA-SG-A__BT-FR__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,SG-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.160711
FA-SG-A__BT-AL__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,SG-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.162129
FA-SG-A__BT-CF__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,SG-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.163492
FA-SG-A__BT-SM__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,SG-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.164787
FA-SG-A__BT-SC__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,SG-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.166111
FA-MB-A__BT-FR__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,MB-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.167378
FA-MB-A__BT-AL__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,MB-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.168605
FA-MB-A__BT-CF__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,MB-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.169837
FA-MB-A__BT-SM__ET-PH__PH_REGION-BICOL__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BICOL,MB-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.171283
