batch_id,output_id,run_id,prompt_version,FA,BT,ET,HR,SC,ST,prompt_json_path,run_json_path,image_path,rating,notes
base_mvp,FA-SG-PH-A__BT-FR__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01__r01,01,01,SG-PH-A,FR,PH,ST,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-A__BT-FR__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-A__BT-FR__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01__r01.json,,,
base_mvp,FA-SG-PH-A__BT-FR__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01__r02,02,01,SG-PH-A,FR,PH,ST,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-A__BT-FR__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-A__BT-FR__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01__r02.json,,,
base_mvp,FA-SG-PH-A__BT-FR__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01__r03,03,01,SG-PH-A,FR,PH,ST,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-A__BT-FR__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-A__BT-FR__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01__r03.json,,,
base_mvp,FA-SG-PH-A__BT-FR__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01__r01,01,01,SG-PH-A,FR,PH,WV,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-A__BT-FR__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-A__BT-FR__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01__r01.json,,,
base_mvp,FA-SG-PH-A__BT-FR__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01__r02,02,01,SG-PH-A,FR,PH,WV,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-A__BT-FR__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-A__BT-FR__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01__r02.json,,,
base_mvp,FA-SG-PH-A__BT-FR__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01__r03,03,01,SG-PH-A,FR,PH,WV,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-A__BT-FR__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-A__BT-FR__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01__r03.json,,,
base_mvp,FA-SG-PH-A__BT-FR__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01__r01,01,01,SG-PH-A,FR,EA,ST,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-A__BT-FR__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-A__BT-FR__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01__r01.json,,,
base_mvp,FA-SG-PH-A__BT-FR__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01__r02,02,01,SG-PH-A,FR,EA,ST,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-A__BT-FR__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-A__BT-FR__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01__r02.json,,,
base_mvp,FA-SG-PH-A__BT-FR__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01__r03,03,01,SG-PH-A,FR,EA,ST,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-A__BT-FR__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-A__BT-FR__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01__r03.json,,,
base_mvp,FA-SG-PH-A__BT-FR__ET-EA__HR-WV__SC-DOOR__ST-POCA__v01__r01,01,01,SG-PH-A,FR,EA,WV,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-A__BT-FR__ET-EA__HR-WV__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-A__BT-FR__ET-EA__HR-WV__SC-DOOR__ST-POCA__v01__r01.json,,,
base_mvp,FA-SG-PH-A__BT-FR__ET-EA__HR-WV__SC-DOOR__ST-POCA__v01__r02,02,01,SG-PH-A,FR,EA,WV,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-A__BT-FR__ET-EA__HR-WV__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-A__BT-FR__ET-EA__HR-WV__SC-DOOR__ST-POCA__v01__r02.json,,,
base_mvp,FA-SG-PH-A__BT-FR__ET-EA__HR-WV__SC-DOOR__ST-POCA__v01__r03,03,01,SG-PH-A,FR,EA,WV,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-A__BT-FR__ET-EA__HR-WV__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-A__BT-FR__ET-EA__HR-WV__SC-DOOR__ST-POCA__v01__r03.json,,,
base_mvp,FA-SG-PH-A__BT-AL__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01__r01,01,01,SG-PH-A,AL,PH,ST,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-A__BT-AL__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-A__BT-AL__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01__r01.json,,,
base_mvp,FA-SG-PH-A__BT-AL__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01__r02,02,01,SG-PH-A,AL,PH,ST,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-A__BT-AL__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-A__BT-AL__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01__r02.json,,,
base_mvp,FA-SG-PH-A__BT-AL__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01__r03,03,01,SG-PH-A,AL,PH,ST,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-A__BT-AL__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-A__BT-AL__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01__r03.json,,,
base_mvp,FA-SG-PH-A__BT-AL__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01__r01,01,01,SG-PH-A,AL,PH,WV,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-A__BT-AL__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-A__BT-AL__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01__r01.json,,,
base_mvp,FA-SG-PH-A__BT-AL__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01__r02,02,01,SG-PH-A,AL,PH,WV,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-A__BT-AL__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-A__BT-AL__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01__r02.json,,,
base_mvp,FA-SG-PH-A__BT-AL__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01__r03,03,01,SG-PH-A,AL,PH,WV,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-A__BT-AL__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-A__BT-AL__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01__r03.json,,,
base_mvp,FA-SG-PH-A__BT-AL__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01__r01,01,01,SG-PH-A,AL,EA,ST,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-A__BT-AL__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-A__BT-AL__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01__r01.json,,,
base_mvp,FA-SG-PH-A__BT-AL__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01__r02,02,01,SG-PH-A,AL,EA,ST,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-A__BT-AL__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-A__BT-AL__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01__r02.json,,,
base_mvp,FA-SG-PH-A__BT-AL__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01__r03,03,01,SG-PH-A,AL,EA,ST,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-A__BT-AL__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-A__BT-AL__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01__r03.json,,,
base_mvp,FA-SG-PH-A__BT-AL__ET-EA__HR-WV__SC-DOOR__ST-POCA__v01__r01,01,01,SG-PH-A,AL,EA,WV,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-A__BT-AL__ET-EA__HR-WV__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-A__BT-AL__ET-EA__HR-WV__SC-DOOR__ST-POCA__v01__r01.json,,,
base_mvp,FA-SG-PH-A__BT-AL__ET-EA__HR-WV__SC-DOOR__ST-POCA__v01__r02,02,01,SG-PH-A,AL,EA,WV,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-A__BT-AL__ET-EA__HR-WV__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-A__BT-AL__ET-EA__HR-WV__SC-DOOR__ST-POCA__v01__r02.json,,,
base_mvp,FA-SG-PH-A__BT-AL__ET-EA__HR-WV__SC-DOOR__ST-POCA__v01__r03,03,01,SG-PH-A,AL,EA,WV,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-A__BT-AL__ET-EA__HR-WV__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-A__BT-AL__ET-EA__HR-WV__SC-DOOR__ST-POCA__v01__r03.json,,,
base_mvp,FA-SG-PH-B__BT-FR__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01__r01,01,01,SG-PH-B,FR,PH,ST,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-B__BT-FR__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-B__BT-FR__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01__r01.json,,,
base_mvp,FA-SG-PH-B__BT-FR__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01__r02,02,01,SG-PH-B,FR,PH,ST,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-B__BT-FR__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-B__BT-FR__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01__r02.json,,,
base_mvp,FA-SG-PH-B__BT-FR__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01__r03,03,01,SG-PH-B,FR,PH,ST,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-B__BT-FR__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-B__BT-FR__ET-PH__HR-ST__SC-DOOR__ST-POCA__v01__r03.json,,,
base_mvp,FA-SG-PH-B__BT-FR__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01__r01,01,01,SG-PH-B,FR,PH,WV,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-B__BT-FR__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-B__BT-FR__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01__r01.json,,,
base_mvp,FA-SG-PH-B__BT-FR__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01__r02,02,01,SG-PH-B,FR,PH,WV,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-B__BT-FR__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-B__BT-FR__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01__r02.json,,,
base_mvp,FA-SG-PH-B__BT-FR__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01__r03,03,01,SG-PH-B,FR,PH,WV,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-B__BT-FR__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-B__BT-FR__ET-PH__HR-WV__SC-DOOR__ST-POCA__v01__r03.json,,,
base_mvp,FA-SG-PH-B__BT-FR__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01__r01,01,01,SG-PH-B,FR,EA,ST,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-B__BT-FR__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-B__BT-FR__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01__r01.json,,,
base_mvp,FA-SG-PH-B__BT-FR__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01__r02,02,01,SG-PH-B,FR,EA,ST,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-B__BT-FR__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-B__BT-FR__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01__r02.json,,,
base_mvp,FA-SG-PH-B__BT-FR__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01__r03,03,01,SG-PH-B,FR,EA,ST,DOOR,POCA,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/prompts/FA-SG-PH-B__BT-FR__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01.json,/Users/skylarmartinez/.gemini/antigravity/scratch/avatar-db/builds/runs/FA-SG-PH-B__BT-FR__ET-EA__HR-ST__SC-DOOR__ST-POCA__v01__r03.json,,,
